part_id,show,part_number,part_brand,subcategory,part_image,watts_power,voltage,shape,min_dimension,max_dimension,probe_length,probe_diameter,lead_length,ingress_protection,certifications,nema_rating
0E8DD3D1-880E-4927-AB5F-B172722DB0EB,,50LE900021,CARRIER,,,,,,,,,,,,,
0E905EE0-C412-462A-B4F5-F9DC58792F70,,P-8-2362,LENNOX,,,,,,,,,,,,,
0EB3DCF1-454E-480A-9C9D-F47B3293C6E2,,8604-39,WEATHERKING,,,,,,,,,,,,,
0F83B03E-53FC-426E-B3D0-938868244AFD,,B5190418,AMANA,CRANKCASE HEATER,,,,,,,,,,,,
0F880E54-9273-4868-9E87-EA819BCE133D,,HT38KN003,CARRIER,,,,,,,,,,,,,
0FBFD97E-479C-4F69-9B42-594FB409702C,,HTR02640,AMERICAN STANDARD,,,,,,,,,,,,,
0FF7B835-D40D-4BF4-8AB1-BBA138141D9F,,HT36NS377,CARRIER,,,,,,,,,,,,,
0N7W6EUIHFSM6NGS19PMFD3AS2Z1EMVO2RFH,,632108,NORDYNE,,,,,,,,,,,,,
1014068E-DF85-4A78-95D7-E6311EDBEBDF,,48G88,LENNOX,,,,,,,,,,,,,
1017C077-8E50-49F3-A880-7B4BF6123FBD,,HT32CH757,CARRIER,,,,,,,,,,,,,
10293A06-A1F2-4A6F-A1A8-1C592385E751,,HT32EA515,PAYNE,,,,,,,,,,,,,
1039981D-6808-4E2D-8282-F4158ADEC2F7,,C5188104,AMANA,BAND CRANKCASE HEATER,,,,,,,,,,,,
104B1B3D-91DC-41DE-A49B-63DDAA7AB3FD,,KAACH1071AAA,CARRIER,,,,,,,,,,,,,
105C0ED5-E651-422E-8209-E2E1797159AA,,HT32BH642,CARRIER,,,,,,,,,,,,,
107E3F17-3558-4B87-BBF9-99B2B886C78D,,HT32BH850,BRYANT,,,,,,,,,,,,,
1084E23E-6C24-4AF8-8B5E-EEE06BF4745F,,67K89,LENNOX,,,,,,,,,,,,,
10A69D8A-226D-42B9-9ABF-9F0652C0D2BF,,06EA660108,BRYANT,,,,,,,,,,,,,
11020B79-CB18-4B6C-9321-CCEB91E6FC69,,HTR01436,TRANE,,,,,,,,,,,,,
116B3054-0B50-45D4-A708-6A0681F92664,,3P130357-15,AMANA,BAND CRANKCASE HEATER,,,,,,,,,,,,
11962AF0-9903-4414-A50F-EA3C568BC633,,HTR00431,TRANE,,,,,,,,,,,,,
11E7D65C-387B-4168-AE00-ABFAC3C3FBA0,,HT32BH853,BRYANT,,,,,,,,,,,,,
11FD6805-260E-48B9-A33F-DD21CD5E3054,,310432-702,CARRIER,,,,,,,,,,,,,
12100F41-C923-47ED-9321-91B73AECC9B9,,HT32TC944,CARRIER,,,,,,,,,,,,,
122EDED2-09A9-43BC-92B0-2D1BD8C638EF,,RMM-765-4,RHEEM,,,,,,,,,,,,,
12472D4F-8234-4292-AF35-5F6B8FF31F9A,,HT32DF413,CARRIER,,,,,,,,,,,,,
12551839-9513-4651-920C-FCBE33316C35,,06DA660076,CARRIER,,,,,,,,,,,,,
1256D170-65B8-4728-A8FF-B15D03E0E141,,60-1080,YORK UPG,,,,,,,,,,,,,
126351FC-E01A-4DBE-82FA-17A8369C474E,,HTR00201,TRANE,,,,,,,,,,,,,
12C18D60-95D7-481C-8C11-27CB5759CE65,,AS-50648-04,RHEEM,,,,,,,,,,,,,
14661072-A43D-4E2E-A57F-6B551EF63E6E,,50LE900001,CARRIER,,,,,,,,,,,,,
14849D82-D590-4C6F-8BD1-B492C3ECE2BC,,HT32BH950,CARRIER,,,,,,,,,,,,,
14B57658-9376-4DD4-8707-5BEE6D40E76A,,S1-02524402000,YORK UPG,,,,,,,,,,,,,
14D11E58-C77A-41EF-9E4D-0C3A0BFDA555,,0163R00004,DAIKIN,,,,,,,,,,,,,
1520AB99-9461-4F6D-90F4-AE2C6AEA05C0,,B5188108,AMANA,BAND CRANKCASE HEATER,,,,,,,,,,,,
156A3196-F099-4979-BFC2-7262D413E3C7,,1178203,HEIL,,,,,,,,,,,,,
158B17B5-04FC-4A7F-9577-28D05B9BD83D,,HTR01680,TRANE,,,,,,,,,,,,,
15AD3A61-ECB3-4A03-8E4C-0754AB78BE96,,1950422,ARCOAIRE,,,,,,,,,,,,,
15C868EB-84D5-47DF-8042-847E53ECDA03,,48G89,LENNOX,,,,,,,,,,,,,
168361AF-F0AA-4A05-9EC9-DA97DBF22227,,8604-155,WEATHERKING,,,,,,,,,,,,,
1697597A-792E-4464-8DDE-E15FC2E0B40C,,HT32BH839,CARRIER,,,,,,,,,,,,,
16BAB24F-1B3F-4C10-B3A1-AD4880475750,,17402001000008,CARRIER,,,,,,,,,,,,,
1710628E-C35B-40FD-80CA-7BE65AEA0BAA,,HT32CH210,BRYANT,,,,,,,,,,,,,
1741897F-83B5-4737-BE6D-F9029C67B577,,0163R00021,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
1765715E-C1DD-4B72-81A4-95DE2968C65B,,0163R00006,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
17AE39FD-7270-45E1-8255-5E8181EA0795,,202403101785,GRANDAIRE,,,,,,,,,,,,,
1825FF35-3DAB-4A5A-A5FA-5ED78F963A02,,S1-3236-3911,COLEMAN,,,,,,,,,,,,,
182BC0EE-13D8-4CEB-BC0D-40BD55BF044F,,HT32DF913,CARRIER,,,,,,,,,,,,,
184A9296-5D7A-4D25-819D-46A23BAEC6AA,,8605-020,BARD,,,,,,,,,,,,,
1857277E-7BD6-4F54-9116-769E02D806FC,,KAACH0401TEC,CARRIER,,,,,,,,,,,,,
18DA2AC9-F59F-4617-9F3A-E3F16698A5F8,,44-17402-18,RUUD,,,,,,,,,,,,,
18E36C8C-5697-4AA5-BEAE-D4816C6C4BBF,,44-17402-22,MCQUAY,,,,,,,,,,,,,
19375B0E-7DFA-4494-9418-6A4C9E9E6335,,RMM-765-5,RHEEM,,,,,,,,,,,,,
194289E8-C3DD-4578-8166-0375A50D4F7E,,T7W851236,MITSUBISHI,,,,,,,,,,,,,
194EA08D-068F-4E50-8B3C-858D24EFA5F9,,0163R00002,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
197C7295-D671-4497-9FC7-3A5755709192,,S1-02532895000,YORK UPG,,,,,,,,,,,,,
19C13B92-1B11-432A-BC14-3D50D80CC1B9,,2019-0011,HEAT CONTROLLER,,,,,,,,,,,,,
19D69C15-F89A-44D5-87FE-AA6BF7798A89,,0130L00017,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
1A515144-6375-4129-B05B-94D3CD67AAEF,,1950421,ARCOAIRE,,,,,,,,,,,,,
1A553A4F-F286-48E8-8B59-322422374521,,S1-1450-9511,COLEMAN,,,,,,,,,,,,,
1AC36610-F722-47FA-8A8E-4EE0E1ADBC06,,S1-02532895000,XENON,,,,,,,,,,,,,
1AE054FC-E432-4581-BC66-FDCB1C101CA9,,1950424,ARCOAIRE,,,,,,,,,,,,,
1AEAFB29-6018-487F-8479-6B385C983368,,S1-02525401000,YORK UPG,,,,,,,,,,,,,
1B1A5B5D-A987-4DA6-873F-8D5E1C068516,,B1267001,AMANA,PROBE CRANKCASE HEATER,,,,,,,,,,,,
1B5FACAA-6EF4-4BB1-8448-66047D4B2168,,HTR00142,TRANE,,,,,,,,,,,,,
1B7B4B22-2C02-459A-9D60-61483A8A8CD6,,HTR00119,TRANE,,,,,,,,,,,,,
1B8193E8-EE29-477E-8CF2-7EC049199099,,B5188104,AMANA,BAND CRANKCASE HEATER,,,,,,,,,,,,
1BB4E95A-3250-4C90-B7A2-B4C30C0D6077,,8604-168,WEATHERKING,,,,,,,,,,,,,
1BCF7109-0518-49FA-9B6D-9443880D4F79,,59621D03,CARRIER,,,,,,,,,,,,,
1C183EBB-902B-4AD6-907E-E669131B5EDB,,50QE680002,CARRIER,,,,,,,,,,,,,
1C296591-DA80-41E7-A86D-201F7B361DDD,,HT660001,PAYNE,,,,,,,,,,,,,
1C702213-9AEE-4CEE-B6DE-94CCD651D694,,202403100503,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
1C78C738-D3F9-4F3E-8B39-DF619BD596BB,,44-103663-13,RUUD,,,,,,,,,,,,,
1C8538F2-EEF9-42E7-A522-9C58913006D0,,HT32BH847,BRYANT,,,,,,,,,,,,,
1CE4886F-3822-4277-B4DC-F3982924889D,,B1243749,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
1CEAA73F-ABF2-442B-B521-8D4285F700D2,,240V:,CARRIER,,,,,,,,,,,,,
1D6E77B5-AD1C-416B-9DA2-5B5C8E8AE940,,S1-6103-3911,COLEMAN,,,,,,,,,,,,,
1D791CD9-3D6B-4A3F-AD7B-03A3FF2B37AA,,44-101884-05,RHEEM,,,,,,,,,,,,,
1D914133-5385-4710-B64C-58DFCBA9E069,,632510,NORDYNE,,,,,,,,,,,,,
1D93AAF0-A062-4F62-A927-769D743B9A36,,100499-01,LENNOX,,,,,,,,,,,,,
1E861C68-9F90-4DB1-9682-F1713AC486BD,,C6303502,AMANA,PROBE CRANKCASE HEATER,,,,,,,,,,,,
1EAB9883-9B27-4B66-A8E5-2CA82E0BF28D,,6024201,DAIKIN,,,,,,,,,,,,,
1F6FC45E-2E25-4D47-AA28-8C48B6B6958B,,HT32CH244,PAYNE,,,,,,,,,,,,,
1F7A41C5-AB9A-49FA-A4C3-9C9C237F4FE5,,KAACH1501AAA,CARRIER,,,,,,,,,,,,,
1FF43AA7-BBA0-4E31-9D51-87A6760191CA,,1174755,HEIL,,,,,,,,,,,,,
1FF7568F-734C-4870-9B65-9A3748CE18ED,,17402001000014,CARRIER,,,,,,,,,,,,,
201ED73B-19E7-41E3-8F45-4CB5D9B46B95,,6230975026,SANYO,,,,,,,,,,,,,
203EF036-9C09-4BE9-A2D4-32316CF579EA,,HT32BH856,CARRIER,,,,,,,,,,,,,
206602DF-6006-448D-9559-3876EE4C44CC,,HTR00122,AMERICAN STANDARD,,,,,,,,,,,,,
20BF34CE-7D18-4C4F-8380-822E2535F96B,,S1-02510431000,YORK UPG,,,,,,,,,,,,,
21287FCE-36E4-4DD0-B013-76C2C7C71B4C,,HTR01554,TRANE,,,,,,,,,,,,,
2145FD2E-6695-48B9-8282-4F2C807B01E8,,S1-02533474240,YORK UPG,,,,,,,,,,,,,
21728028-E43E-4BB8-9363-55C564D1D3CC,,KAACH1601AAA,CARRIER,,,,,,,,,,,,,
2189D093-BD66-4294-A14C-452855E2EE5D,,1950725,COMFORT,,,,,,,,,,,,,
218B3093-C1D9-4D9A-B4EE-A9B9456BE40B,,S1-1450-9501,COLEMAN,,,,,,,,,,,,,
21BE0C72-303D-48C9-A803-599024301888,,44-17402-18,RHEEM,,,,,,,,,,,,,
21C5E440-F3AF-46A3-BD12-1AE5E8774844,,PHT04CY0050,CARRIER,,,,,,,,,,,,,
21D9C5C9-438B-4FDB-9F90-7C858B3C7C80,,HT32TC910,CARRIER,,,,,,,,,,,,,
21EE8168-4052-44C5-A55E-D9B4812EF9A3,,S1-02524837000,YORK UPG,,,,,,,,,,,,,
