part_id,show,part_number,part_brand,subcategory,part_image,microfarads,voltage,shape,tolerance,operating_temperature,depth,height,width,ingress_protection,certifications,nema_rating,part_number_correction,notes
024D782F-AFEF-4A40-A420-0543F79527FE,1,WJ20X538,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
025A25BF-76B4-433B-98CE-4B3B58A87656,1,S1-02427586000,YORK UPG,DUAL CAPACITOR,,50/7.5,370,Round,,,,,,,,,,
025CE0BD-F1CC-4BC9-B0EC-B99F38F21DF6,1,202401000412,MIDEA,,,,,,,,,,,,,,,
0266957B-E6C8-47AB-BEA8-545C7CCCE2AF,1,48J23,LENNOX,DUAL CAPACITOR,,35/7.5,440,Oval,,,,,,,,,48J2301,
026ECDF1-3C5A-4E59-A65F-854217074C39,1,9700468066,FUJITSU,RUN CAPACITOR,,5.7,200,,,,,,,,,,,
0278E724-D9F4-40BF-9DA0-9EDCA1CA47B8,1,P291-4074RS,CARRIER,DUAL CAPACITOR,,,,,,,,,,,,,,
027B8522-1BF4-434E-8F38-16DDC6795894,1,1605-00720-108,FEDDERS,DUAL CAPACITOR,,,,,,,,,,,,,,
027E5B37-02C7-411A-B58B-6CE8725C3D3A,1,S1-02420051000,YORK UPG,RUN CAPACITOR,,,,,,,,,,,,,,
02823599-798D-4E88-B6F8-048A8347DBFA,1,330798-707,CARRIER,,,,,,,,,,,,,,,
02920766-CDE9-4A46-8502-43A68D86296C,1,8552-574,WEATHERKING,RUN CAPACITOR,,,,,,,,,,,,,,
029D25B6-8768-466D-9D47-014FC53D1D9C,1,REC-0001,REFPLUS,RUN CAPACITOR,,5,370,,,,,,,,,,,
02A0DE7D-6E81-4FBF-83FA-428952EAE8DC,1,24279701,HEIL,START CAPACITOR,,,,,,,,,,,,,,
02A59A60-C2BE-46FD-A6F6-365E1B93D942,1,43055337,TOSHIBA,,,,,,,,,,,,,,,
02A8B0AC-C2F5-4D67-B9B3-C87568FB48B6,1,39H81,LENNOX,DUAL CAPACITOR,,,,,,,,,,,,,,
02B5A47D-75F5-455D-8EC1-5689B116032A,1,1645650,ARCOAIRE,,,,,,,,,,,,,,,
02C40A93-78FA-4CD7-B7C6-EB2513AF76BC,1,5303285463,SEARS,,,,,,,,,,,,,,,
02C988E4-0B6A-4C7D-96CC-1908E98BE16B,1,P281-1896S,PAYNE,START CAPACITOR,,,,,,,,,,,,,,
02D95AA6-41D3-4634-B69D-790BB2D997F9,1,CPT00423,TRANE,RUN CAPACITOR,,,,,,,,,,,,,,
02DB1A1F-13AE-45F7-80B1-125C20525847,1,CAP020300450RS,GOODMAN,DUAL CAPACITOR,,,,,,,,,,,,,,
02DDA59C-F73F-4F37-891A-01FBE5E961EF,1,P291-5554RS,PAYNE,DUAL CAPACITOR,,,,,,,,,,,,,,
02E35B2B-8EFF-4A28-A892-1C62DCC46313,1,52523D,CARRIER,,,,,,,,,,,,,,,
02E85BE9-2171-40C7-81C0-542340689D87,1,Y50114235,MITSUBISHI,RUN CAPACITOR,,7,440,,,,,,,,,,,
02EC3038-932E-4F84-82AB-DB7608CF69D6,1,WG20X22,TRANE,,,,,,,,,,,,,,,
02F17AB0-E7D7-4DCA-BBD6-3C95E01EB588,1,24280806,CARRIER,,,,,,,,,,,,,,,
02F1BA88-662F-42EB-8C6C-D93CCA6669FE,1,WJ20X10030,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
02GKV80LT748GKOVN1KKYTJIUYF0RQIZSCPR,1,G508501-04,GIBSON,,,,,,,,,,,,,,,
0300EAE5-F9FC-4729-831D-805071ED0099,1,320120065R,SEA BREEZE,RUN CAPACITOR,,50,440,Round,,,,,,,,,,
030132BF-C644-45CE-9E84-CB6A8C71AAE5,1,S1-1499-4891,COLEMAN,DUAL CAPACITOR,,40/5,440,,,,,,,,,,,
0305DCEB-390C-46AC-A80D-B0AA9EC4CDE8,1,S1-6313-3301,COLEMAN,,,,,,,,,,,,,,,
030A4D7C-E5F4-4F63-91EB-2BAD1F336301,1,WW20X109,TRANE,,,,,,,,,,,,,,,
030DA14B-D2AD-4BBB-9B23-06E1E5502D8A,1,S1-6703-3521,COLEMAN,START CAPACITOR,,,,,,,,,,,,,,
03107DB5-78E8-407D-8520-6742EF834E93,1,39H71,LENNOX,RUN CAPACITOR,,,,,,,,,,,,,,
031395E4-E06C-432E-9384-29477DB2FA7F,1,9291-0403,CARRIER,,,,,,,,,,,,,,,
031744AB-2BB7-4F69-A852-624939204F5A,1,CPT01074,TRANE,RUN CAPACITOR,,,,,,,,,,,,,,
03191E6B-EF8B-4BA3-9672-40BFE88E9D58,1,61080564,FRIEDRICH,DUAL CAPACITOR,,45/10,440,Round,0.04,-40 to 70C,,,,,,,,
032285EF-8C44-4811-A7E1-84661E8C0283,1,8552-091,BARD,RUN CAPACITOR,,15,370,Oval,,,,,37987,,,,,
0322C6DF-E5C5-494D-9FBD-FD5152DE12CE,1,R68DE0008,HAMILTON,,,,,,,,,,,,,,,
03243CA9-682A-46FE-B315-FB45579D068C,1,1163756,WHIRLPOOL,,,,,,,,,,,,,,,
03320DA4-3B27-4C83-B45A-E9407ABE2775,1,S1-1499-4801,COLEMAN,RUN CAPACITOR,,,,,,,,,,,,,,
0332463E-CC4A-4818-AF19-A4D9CB443620,1,43-100496-47,MCQUAY,RUN CAPACITOR,,25,440,Oval,-0.06,70C,,,,,,,,
033BA344-78B7-48E2-A120-2A780CA122B0,1,8552-033,BARD,RUN CAPACITOR,,,,,,,,,,,,,,
033D7CEB-4FF0-4ACF-9969-727FA188D2F5,1,353101X66,CARRIER,RUN CAPACITOR,,,,,,,,,,,,,,
0349D95E-2A0D-4E0A-B57B-34CF171A17D6,1,330801-704,CARRIER,,,,,,,,,,,,,,,
035733F7-D241-435A-BC16-4B037A38E870,1,620273,NORDYNE,,,,,,,,,,,,,,,
035DAD3B-9CA2-4FE8-89D2-1A99A0D05B88,1,360427,THERMO PRIDE,,,,,,,,,,,,,,,
03675CE0-5AC5-4A92-B970-F8D5DF9E0165,1,24280826,ARCOAIRE,,,,,,,,,,,,,,,
