part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,oil_type,nominal_capacity_tons,nominal_capacity_BTUH,voltage,ph,hz,run_capacitor,start_capacitor,connection_type,suction_inlet_diameter,discharge_diameter,number_of_cylinders,number_of_unloaders,crankcase_heater,protection,speed,EER,displacement,nominal_hp,nominal_power_watts,fla,lra,rpm,compressor_length,compressor_width,compressor_height,ingress_protection,certifications,nema_rating
E6E3901F-E6DA-4510-A889-2576BFDC74DB,,50LC400865,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6E7AC76-3DDA-427B-9D0E-0553148E5944,,8000-147,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6NU09O0LY7UMK4YT5JO3L3DHCAXRSKH0TNN,,8017161,KELVINATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70810B4-18E4-4B3F-9BB3-F5CB95124689,,569934,WHIRLPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70C4A01-DDFE-4FA1-BB3F-DCD3D447CEC9,,T111100563,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70DA4A8-FD42-4C15-9877-D2E28D1114C5,,8000-173,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7108F7A-7302-4EB7-B8BE-3F2A00DAA7BE,,CS18K6E-TF5,COPELAND,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7120100-3B02-424D-9C88-2F5638E7DDF0,,14K45,ALLIED,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7147AD3-D006-4699-8BB8-459A0A2DD00E,,COM03859,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E71E835F-EABB-47EC-97D8-F850E6F9D948,,WJ98X10014,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7208E86-F58A-40DB-BBC2-4B4546C9D695,,8000-565,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7218013-7524-4944-B17B-070BFCA416F2,,2030-0002,HEAT CONTROLLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E73E069B-3001-4976-9324-56C1154012D3,,ZP103KCE-TF5,COPELAND,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E747B6D2-C8D5-48E1-A7E9-160E1AFD97AD,,S1-01501986005,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E74D39B8-96D4-4EB3-A3AE-A0C083C2EFDC,,ZR25K5E-TF5,COPELAND,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E74EDF92-1EC7-43F7-A057-72B604023A1A,,1172275,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E750DDDB-F9A3-4126-8667-5B57C401ACA8,,1223550,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E750ED24-6CE6-444E-9439-336874DB336C,,55-22973-30,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E75162E2-CF48-4799-B799-2206CDE9C9B4,,8000-495,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E757B178-0881-4AF3-B96F-7D6033427485,,WW77X200,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E75DBDFB-CD61-4E40-A372-08554F25BBB2,,CS18K6E-PFV,COPELAND,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E76213C5-87A2-48A5-B077-3E33FC6FB477,,AWG5524EXT,TECUMSEH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E76879B1-1AE2-413C-B074-9639BB5D97C1,,S1-01502900004,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77222AE-71A5-4B96-BC89-B4EFCF4874FE,,AKA9427ZXD,TECUMSEH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E772C68F-1A3B-414E-AFDD-EA45AF7D4013,,65G79,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E773C1B4-70AF-4E7F-8402-345E7B60459C,,06DX3286BC1200,CARRIER,SEMI HERMETIC RECIP COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77689DB-35BB-43AE-88E3-B3A78AE5F5C9,,COM07056,AMERICAN STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7782A75-513C-4CA7-B0D4-B8946A591B73,,06TVA819TX1C,CARRIER,SCREW COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77A8700-F5F2-424A-9B12-224CB28ED824,,29C96,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77BB8B2-C5DB-4828-97AE-3306A8F6F7FE,,50LC400867,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77E4D8B-9A84-4883-B42D-88992C326438,,P032-3253,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7828C51-319F-4D41-B315-C0F915E4AADC,,COM03729,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E785D2C3-F399-48B7-B921-1011CEFF644A,,BT9266112,AMANA,ROTARY COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E78A00C8-3CDC-437A-A4BC-225C4C8014BC,,1096772,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E795E9B1-51EC-4408-B85C-5A6A4DEF7CD5,,1223150,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E79723C3-33D4-47AC-9D38-5B52B66940F5,,78F84,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7998191-6836-4001-8845-817636774DDC,,COM03647,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7A23A7A-6BFB-40A6-A536-47131B844AE1,,P021-4123,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7A4AFA4-02BB-47B2-8E41-F2914653C273,,70015631,CLIMATEMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7AA8473-0885-4894-B24F-5B44EE186A62,,73A74,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7BD50E6-4AEF-488C-B675-FCD27DF45F24,,4EES-4Y,REFPLUS,SEMI-HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7BE385D-1364-4BC9-BCFA-EEDD420B66EA,,P031-4873,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C0C789-694D-40A5-9D83-3B6A11E8AC43,,COM03986,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C3F1B5-0612-4017-AC40-47E74AC98295,,D6985810H,AMANA,ROTARY COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C3FB20-344E-4166-B60D-F6A2BB9CBEC7,,48TM402532,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C49A29-D47C-4D75-AD9B-7C923BDA6DA8,,WJ98X1001,HOTPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C4DCC4-6EEE-4B40-8C90-A5866F5D6321,,P-8-5439,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C596CF-3071-402E-A85E-F31B75300607,,55-41190-12,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7C82DAA-D65B-4693-80E4-F470919A599D,,ZR44K5-PFV,COPELAND,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7D6C215-BFF1-4240-8D27-71099B111021,,1220126,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7DF3B4B-327C-4426-A542-E8C2ACF38551,,P032-5752,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7E94029-2B06-4740-92A5-984343201270,,24236801,FRIEDRICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7F213EC-FB81-4790-BB1D-AA78615E2FBF,,55-23140-101,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7F2A90A-1B17-49CE-9CBB-0619F497ECC1,,101080,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7F7EDCB-DA9C-4563-98EE-8C0DE0B802A9,,2520UMLK1KA,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7F9235A-7234-4DD5-B301-EBA1585229B0,,3483525,FEDDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8041D63-F786-47B2-8F19-29E30717D16F,,55-102045-44S,MCQUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80429BA-2380-4B36-8AC1-A8A67DF6014F,,11012503,AMANA,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8058289-6E78-4B2F-9AE9-ECC3903B3D8F,,B9266202,GOODMAN,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8068660-6041-46FB-A2D9-30E66B9DDD6D,,WJ98X742,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E807D4F8-9E10-40A7-96A7-DBBF7CE014EF,,104112-09,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80822F2-5C28-464C-9AF3-3EA594CF0326,,P032-2725,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80D83CC-F4D8-417F-B1BE-46E8B7B9E9FA,,S1-01503634001,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80E2FE6-D19D-4FF4-9056-E40BD3E31591,,P040-30071K,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80EDE88-B742-46DC-97D4-9A53EB66164D,,PL4666AD,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8118A85-9C6E-4307-BAE0-AB4F561910CB,,S1-01503138004,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
