part_id,show,part_image,part_number,part_brand,subcategory,poles,shunts,coil_voltage,operating_voltage,ph,hz,fla,action,lra,connection_type,termination_type,resistive_amps,noninductive_amps,auxialliary_contacts,push_to_test_window,contactor_type,height,width,length,coil_type,nema_size,max_hp,fuse_clip_size,enclosure_type,temperature_rating,current_setting_range,reset_type,accessories,overload_relays,overload_time,ingress_protection,certifications,nema_rating,rla,application,switch_current
079C2C48-5FA1-4CF6-8BF6-68107BF5F0EF,1,424059401,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07C0EF8F-33FF-4C00-B866-3949E4B81B3D,1,114976,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07C38BDE-BF50-4441-89D5-EBD5AAFFE236,1,CTR00498,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07C49C81-A05C-4355-BCC6-DE7DCBEA1416,1,HN53AD420,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07D63C45-810C-4520-854E-4F642C96AD0A,1,LC1D4011B7,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07E114C9-33E5-4264-A2FF-4B3501C101FC,1,S1-02424134000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07E70D73-FE1E-4472-B243-1B946D9C423D,1,ABB-A12-30-10-75,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07FCA10B-9655-4EDB-B5BA-7FDF10675DFB,1,636192,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07FD42D0-EDDF-44C4-AFA5-E63FCB6A7E3D,1,CTR00275,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08024D6E-85B6-4871-BF0E-A8D73FA8B316,1,CTR00005,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08053F06-4A27-4068-BA71-9035C7EF2BFF,1,HN52HC030,PAYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081C096B-6FCC-45B0-8E52-427E44B6A4D7,1,HN53KC053,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084151A8-F1B8-44E9-8EF2-485C5FD58D29,1,19C55,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084A6DF5-318E-4860-844B-EFAA984B5D78,1,14306503,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08517208-B9EB-42F4-B1E8-044DC73EB7EA,1,CTR00212,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086219C9-E620-4250-B0D3-051FD3B41BD6,1,38AE400484,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08639123-40F2-41AB-BE4B-E5D131A5E3B4,1,CTR00002,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08797AE0-8846-453D-A6E4-14D4D755A9CF,1,38AK400841,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0887D965-F52D-450F-98DE-7F4B9FFC1B07,1,CTR00029,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08AF6FC6-1EE0-4CA9-A197-EE60706B9993,1,42-40578-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08B42421-455A-4DBB-846F-BC9E0EA7E503,1,PCC01GA0260,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08B96225-33E4-4610-9E6E-73DF2E4DD7FF,1,42-40594-11,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08B9E259-286F-4B70-BCFD-2DA130223BA4,1,CTR00504,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08C1BF91-F421-48CB-A341-D07D267000AB,1,14306504,ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08ECA2A5-7276-43E5-B555-CC146B69349A,1,CTR01034,CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0902150E-1F97-4848-80D8-1015FFD9DFF0,1,RES-503,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0905490C-6FF8-469C-B713-AFA1729E4852,1,111525,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090C5287-B8FF-41B5-9181-4C188C08548F,1,8401-204,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0938EC3E-D2B1-4172-961C-455E6CA8D716,1,114973,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0946EE73-4C5D-463D-8CDA-58CC158D014F,1,HN51KB024,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094D7D3F-439B-4F00-9ECC-A8BE63C5E19D,1,12RB660001,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095807CF-DD05-41D3-A6C4-AE809EF04449,1,13M,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096E3D42-4324-483C-9B55-276EB35B4AEE,1,42-17412-03,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0990A173-CD0B-4F40-B12C-D861468252E1,1,42-22464-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09C379AE-9975-4F9E-9C78-1712D3A8A5F4,1,HN53HH260,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09C4F6E1-5828-47B8-BB48-76F6493612BC,1,98C86,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09E166FD-3292-4B7C-8A2F-79DB7B7352AF,1,S1-02421625000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09E4DCEA-0BC4-4398-BD30-3C90EE01027E,1,S1-02426004700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09FCA902-1422-4283-8C05-4EB398838A0E,1,14M,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A0F698C-33CE-42C9-AD65-8120F8C8D872,1,HN52SA033,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A137DDE-BB91-4FB7-8DD2-97B65BEBE025,1,38AK400583,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A275C88-2798-43A1-9CE8-006FCBD55EB0,1,HN680062,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A346466-EEA0-4B2B-8111-CD51F3E269DF,1,453151,EUBANKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A4CFCFF-CBA9-4426-8B08-C5005751E4A8,1,65C69,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A744764-ECAD-4EFD-99E7-26AC417FB45B,1,1173477,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A77E63D-3E6C-4A7B-9606-BEBA9791F464,1,HH680117,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A87F4A0-2EFF-475F-AD0A-24ED8BD58E4E,1,P-8-11235,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A9B0274-7221-4ED1-A671-A0DB4426307A,1,S1-02435837700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AA1252A-AE55-46E3-9303-4083038E33C4,1,30050066R,SEA BREEZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AC28E88-4C4E-4CA2-AB06-EF242EA0FA6B,1,S1-02417177005,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ACD47EC-604E-4C9B-AE1D-14F218F8ADC0,1,07EC-C,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AE5C15E-A08B-4301-8551-EA444ED0E9E3,1,2532350,CLIMATEMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AE9FDC9-FBA0-48F9-8B58-B848F174D844,1,HN51KC025,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AFA0242-BCBB-4D84-B55C-0D891CE7AA48,1,46K50,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AFF8001-BB45-4C48-A977-E9958D094770,1,CTR00502,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B1F2A1A-0FF8-40D1-8F7D-E8A9245C7FA8,1,S1-7348A3531,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B21950D-758C-4BDF-BFDC-0C35D441831C,1,42-103377-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B43FFF8-FD40-4C93-978B-02218217395D,1,38AK400836,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B4DB0FE-A880-4697-B5E8-446BE0764243,1,38AK400570,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B664593-776A-4DAB-9E84-C99FCD96D4EB,1,HN680147,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B6AEB95-3E4A-496C-B0A1-5B05169A15C8,1,421781083,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B8BB697-CDEA-40D3-BC23-05140B196E94,1,40RR900181,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B9C159A-FCA8-4006-B231-E3BD737F0A26,1,151282,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B9D1687-D55D-4D34-AA40-811798AE5B55,1,R0150J317,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BB8199C-4EA9-4520-AAFA-79E46A9899FC,1,P-8-7366,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BBC8A1D-80DD-4C5C-8EA7-F23235E65EB6,1,CTR01006,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BDABCDB-6DEB-4B2F-BCAA-0E25765C869C,1,ABB-A40-30-10-51,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BE10F8E-D043-4FDB-A1CA-3E71CEC9D94F,1,700026,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BE49ACA-AF1A-4CAE-A60B-F1A87CDBB0AB,1,38AK400510,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
