part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
0748541B-E48A-4595-836A-D1BEDFD5F312,,96311,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074CA980-2BF6-4785-A0A6-4AF2C41AEB25,,6D73-253,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075EA28D-A1F1-4E60-9869-5F40917E1259,,1149016,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076B4AF0-686B-4B0F-890D-B1073D78E7C2,,098522-24,FMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0776ED8C-E621-4C23-B8BE-967F22879BD5,,76714800,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07A1A49D-3331-41AF-AB07-0799571B61A4,,201600720296,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07A97529-A13D-4C0F-AC05-D25CF65AA0B2,,5H79805,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07BC2213-9D5C-4B4B-BB24-EFFB05782122,,5683,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07CC958A-ED32-4614-A8AC-EC8288804C40,,39F91,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07EE3128-EC01-4E1A-8F54-BBDD43752D52,,WG19X203,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081E68B8-A671-4CF2-A387-BC5A68EE5A62,,60-40651-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082F47DC-AE8A-46BF-B84F-A1513631F2D9,,C6241801,AMANA,GAS VALVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0847296C-BC97-4C25-A088-F29928F492D3,,78F01,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087EB91D-47E9-4D6C-83AA-0728BEC378D7,,201600720195,GOODMAN,GAS VALVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088436A8-BA8D-4F40-A9CD-51CF1DFC2927,,M21L5V663,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08ACECB0-4707-4C56-B70B-7A65EC499E52,,5H605803C1,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08CB23E3-4FBE-4286-9586-EB05EEFA91D5,,VAL3403,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08F19466-81B7-4530-8726-0EDFC0689394,,1585957,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091881C0-3646-465F-A344-F916A40B020C,,1585987,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
