part_id,show,part_number,part_brand,subcategory,part_image,diameter,number_of_blades,pitch,bore,rotation,rpm,cfm,bhp,material,ingress_protection,certifications,nema_rating
0810EAA8-2421-4B52-8F72-93AB93C2E677,1,LA01RA329,BRYANT,,,,,,,,,,,,,,
08245DCF-3CC8-44AF-94F8-D2BD4DDC27EC,1,FAN01797,TRANE,,,,,,,,,,,,,,
0826EEF7-5C95-4B70-90B0-C46E7C1A35FC,1,100060-19,ALLIED,,,,,,,,,,,,,,
083773A1-D011-4AB4-BBF8-E7E0F529023C,1,703126,HEIL,,,,,,,,,,,,,,
0847B1AA-DAA9-43A6-B526-E583A3D0161E,1,10333414,CARRIER,,,,,,,,,,,,,,
084E1AF8-AC33-444D-82F3-78FF08A11006,1,WW7X319,TRANE,,,,,,,,,,,,,,
0856D849-1B18-48BD-B8A5-2A636826B662,1,FAN03125,TRANE,,,,,,,,,,,,,,
0884F7FE-037B-4B47-82CA-7695FAC50BE9,1,8142544403300,CARRIER,,,,,,,,,,,,,,
088888DB-54D9-4F85-A8B0-B4FD481FBFB3,1,FAN01648,TRANE,,,,,,,,,,,,,,
088CB8C3-AB27-47AE-B794-97E7B7A2DBD8,1,WJ73X122,GE,,,,,,,,,,,,,,
08BB89EA-1175-4BFD-BDCB-6352CD02B402,1,201200390013,MIDEA,,,,,,,,,,,,,,
08DE3E7D-A64C-49CA-8774-91C054EC50CF,1,5H59665C4,MODINE,,,,,,,,,,,,,,
08E3DD7B-11AC-4C27-8E69-199665581CDA,1,0637016A,CARRIER,,,,,,,,,,,,,,
08F2C1CB-6524-49AF-BA7D-261655385F68,1,3017959,WESTINGHOUSE,,,,,,,,,,,,,,
08F3C0B8-9749-45E9-AFC4-25F94B17F791,1,65004601,FRIEDRICH,,,,,,,,,,,,,,
08LAOFLQEX0PMHHTINZC60TZAR39D3T57ALN,1,667202,NORDYNE,,,,,,,,,,,,,,
09084EAE-7AA4-486C-9002-CA121EC6DC0D,1,K12448,PRE,,,,,,,,,,,,,,
0908B841-785A-4BE2-AB5A-C3E45A922CCA,1,2625D23H02,WESTINGHOUSE,,,,,,,,,,,,,,
090E8C83-BB0D-41B0-B35C-CC3A2F40F7F6,1,70-102011-03,THERMAL ZONE,,,,,,,,,,,,,,
09207780-AC59-4325-A1D1-D5D3C477676C,1,852067,WHIRLPOOL,,,,,,,,,,,,,,
092D06FC-455B-4494-A17A-5B50CFB409ED,1,FAN02156,AMERICAN STANDARD,,,,,,,,,,,,,,
093D0B8D-5D9B-473B-BC1E-D91090CFD4CF,1,S1-02624005000,YORK UPG,,,,,,,,,,,,,,
0943FA7A-258B-4B7A-89AD-C459C57D6FC6,1,43G38,LENNOX,,,,,,,,,,,,,,
0946836B-CEE2-4D7E-B152-A94E8874C15D,1,2291030,CLIMATEMASTER,,,,,,,,,,,,,,
095F0733-FFC1-44E0-9F46-7BB0FA10AEB2,1,G517551,GIBSON,,,,,,,,,,,,,,
09635B0F-089A-49BE-B77B-31EE87982417,1,10335014,THERMAL ZONE,,,,,,,,,,,,,,
0973DE27-BC89-499C-814E-25835B8E3F72,1,1158665,SEARS,,,,,,,,,,,,,,
097791F6-3BF2-4D6C-99D6-2F6971612D8E,1,B50,,,,,,,,,,,,,,,
0981DDE2-0E88-46F7-BB5B-A007DE07927D,1,FAN03590,TRANE,,,,,,,,,,,,,,
0986555B-176E-42B1-97B5-3094A6CD1605,1,S1-9336-3241,COLEMAN,,,,,,,,,,,,,,
0993A79C-F434-46AD-BF8E-E0F582DD8DFB,1,0150M00001S,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
09BE2979-6DFD-403A-A5D3-C170B643C43D,1,LA01EW032,BRYANT,,,,,,,,,,,,,,
09C5B51A6IYL89JBP7H6EP9H114G96KJCIZ8,1,667354,NORDYNE,,,,,,,,,,,,,,
09D2B175-9A21-4679-807C-3E3C96940B7B,1,R1560-42,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
09E6657E-8169-4A92-9D7A-5B35A64903AE,1,C5942501,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
09F3153E-3060-4CCA-960D-85F43CA7C904,1,8520250911701,SANYO,,,,,,,,,,,,,,
0A04DB86-9018-405A-8FBA-ECE9082952DA,1,S1-02642611000,YORK UPG,,,,,,,,,,,,,,
0A084E70-BA25-4E79-ACF6-F560324E7FCA,1,100060-11,AIREASE,,,,,,,,,,,,,,
0A127362-3E77-46F7-BA38-128E2BA8127F,1,4386,,,,,,,,,,,,,,,
0A1EE328-D5E3-4A05-ABA7-A286A412CC28,1,70-42502-03,RHEEM,,,,,,,,,,,,,,
