part_id,show,part_number,part_brand,subcategory,part_image,application,gas_type,voltage,terminal_TYPE,mounting,tip_style,ceramic_block,pilot_btu,orifice_diameter,pilot_tube_length,lead_length,sensor_type,steady_current,temp_rating,time_to_temp,amperage,cold_resistance,max_current,compression_fitting_diameter,probe_length,rod_angle,length,height,width,ingress_protection,certifications,nema_rating
0P0DIL5H90VOVVYIZAQ9D1W5HPGNOHCFWK8H,,110341,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0WM0XUG2FKDS1BGNLATXHK84TDRGXD3LYKDR,,903458,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103EE323-4D17-41F2-9BF6-F02294CC1EBA,,8554-038,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107A6FR54NVFVDW8JI0IFMBCTE6ORB41KEOW,,170-9601,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10825A4C-ED7A-4C18-996E-3284CF851EDA,,HY19AD021,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109107C1-08AF-4628-AD2D-A75E104EE866,,S1-02529681700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096FB22-5470-401C-B7A1-89B09A5230BE,,535740A,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10D21548-C410-4A0F-83AE-E8ACC37A011B,,WTR2505,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111FA020-6789-4063-BAC4-24E883E05F19,,LH31WF039,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113E3D9F-DC43-4633-BE4D-B84362E1B79B,,1012461,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118154C8-C2DF-49B4-B1DF-5318B40BAAEE,,117034,SOLARONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12233038-F457-4606-BC34-42FA10C2EF4A,,48-140,INDUSTRIAL COMBUSTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241F021-2CF9-47E2-9341-0C7DE897A46F,,8708105491,BOSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12474AF5-B994-4D57-9224-FCDCF57E6B38,,PIT00112,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12600616-712B-4D9C-85F3-30B7C0E385A7,,71-10081,SUBURBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284DCE8-21B8-4C2C-A067-86E654A7FD5D,,SRV2061-165,HEAT & GLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12B5A61D-3962-43B5-B7D6-47C28034BFDB,,WTR2523,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12DC1898-4B2A-4B1F-A752-D833CAECBB8A,,D9918202,AMANA,HOT SURFACE IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12E2A39F-39A4-4A8F-B126-10AE30763259,,762147,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12F5CDB7-12CE-49DB-B0F6-5B0C7D734893,,9022-032,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12F936A2-1A93-4834-B6AF-944D43E5B7AA,,1665040,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301E529-392A-4D99-A5EB-58113E410563,,20261707,GOODMAN,HOT SURFACE IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130E0F19-5D80-4921-85F4-F7F0E4783693,,3H32308C11,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13106E29-B453-4242-BF44-106B6D79D85B,,VAL01431,CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131582BC-EA01-4C1F-A389-A5299892F668,,860106,WHIRLPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13205680-6375-43D9-B9D0-38FF8C62F3B3,,098594-01,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134C0226-55C1-4EB3-A47B-A67D8964E78C,,C9446661,AMANA,STANDING PILOT IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13DBE333-915A-4038-95E6-C2841F72C5D6,,IGN00030,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143FB2C8-B181-4F42-9885-8421F1BCC3BF,,6096-5557,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14417508-9270-494A-A8C5-154342041EBF,,C9466601,AMANA,STANDING PILOT IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144BBE9D-B995-41C5-A57B-2560EB142BC2,,LH33WZ059,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451C84C-630D-4CD8-8090-45C3809CA025,,DH30,CHARMGLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471BF29-2836-4374-AA99-ECD092D2B8F9,,S1-02522246700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
