part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,nominal_capacity,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,equalizer,external_equalizer_connection,bidirectional,adjustable,configuration,supply_voltage,motor_type,control_steps,step_rate,orfice_size,capillary_tube_length,number_of_headers,spring_type,check_valve,hermetic,balanced_port,applications,element_size,body_type,thermostatic_charge,mesh_strainer,max_operating_pressures,max_differential_pressure_drop,ambient_temperature,refrigerant_temperature,current,drive_frequency,phase_resistance,compatible_oils,cable_type,max_power_input,step_angle,resolution,connections,closing_steps,minimum_steps,hold_current,percent_duty,stroke,max_internal_leakage,max_external_leakage,ingress_protection,certifications,nema_rating
00B08BD5-0F4C-405D-907D-8CF8A5788244,,T111850041,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B1EE14-1016-49C4-9DEA-A5278B6FC507,,201600800388,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B2A014-CFF9-4282-ABAA-5E33842699D5,,49955-40,STERLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B87F61-3B4A-4D8E-8FDC-BD2E79B9897B,,72015218,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B89372-3339-448F-8CEE-230A6F656C12,,50HX400035,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B8A88C-F654-4E4F-91D0-9BDABC9C69F7,,38325B009,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BACE15-C9B4-4A77-92C7-A7674AE8A614,,6094-5651,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BD3774-C7AE-4115-BACA-AB34B67BD1FC,,5810-71,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BF950E-9D91-4924-95B6-BCEB000BFD0D,,61-100141-06,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00C13288-CB7B-444B-89D1-29D0721DB974,,68266302,FRIEDRICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00C25969-A6F2-4A3A-BCA3-0F5D66B56BBD,,1072124,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00C90985-D6AB-4938-BD51-A3C9D1437368,,ORF00066,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00D6CEAA-39B7-4DBE-A5DF-372BFE3EE131,,31194316,BECKETT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00DDFF26-73FB-45EF-8CC3-0E0A9B37E107,,1173868,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00DF21E2-788C-49BF-B19F-78D1853E8A57,,B1314471,GOODMAN,PISTON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00E06DDE-F976-426E-95A0-3CDE0CBD83F8,,4948AR7034A,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00E899EA-470E-4685-96E5-44139B33AD87,,D296,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00EE14CA-C13B-4241-AF90-3E587EBCED24,,P530-TRAE20HCA,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00EE21AB-183C-4CF7-965D-77918E4B3527,,361840251R,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00F88A64-FD1A-4F48-9DFD-8A108ED56A99,,5304408716,WESTINGHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00FF0FE3-698A-424E-8352-0EC87C33BF63,,EA52PH090,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019049-2A95-4881-81FE-B7DE538FED30,,33B0013N03,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0102428A-E4B5-4BD8-98D8-FB57155C5A7C,,S1-9900-0931,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01052959-F6AB-49F1-B246-4BC308E601D8,,30GT413168,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01072FA8-88C3-49BD-A938-D8C47CF3254A,,8001-9000,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0107F4D8-D7A1-4918-91FB-C7C4AA9AFFF0,,S1-02208930700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010866C5-5C0D-40BA-8F57-A874D23EF774,,ORF2702,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010ADDF0-75C3-4A34-A376-9665B7BF2E6E,,C6372901,AMANA,TXV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01114239-338F-4D39-946D-C482EAFDE460,,3203492,GIBSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0113E9C9-DB26-41CD-93E0-F74446D01541,,56J20,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117884A-1DD2-45E3-A598-2AA08AC4CFEE,,S1-9951-0961,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011A09B6-93B3-49AE-92C7-8AB07E18749A,,1062694,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011DBA0A-858A-451D-88E7-0338DFD05380,,100484-46,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01278978-ABC6-45F9-BF14-6B27F4EE3F79,,61-102321-07,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0128D63A-9C43-4D88-B556-781F976711CA,,S1-02206858001,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012F8F9F-CC0F-4831-A04D-04FB2C83BFD6,,C4261901,AMANA,CAPILLARY TUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0131F94D-6487-4D5C-B6F6-6414144881EB,,30GT414801,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01360452-8315-4978-806C-0C81BC7DF81E,,TUB02690,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013CD8FD-26A0-480C-8519-4B1ADB3EFD60,,EA52PH088,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013E3BB7-1B34-4A70-A83F-D4F4BA849441,,0162M00192,DAIKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0140798B-9532-4D4C-8D65-6F79C61944F5,,43069-003,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
