part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
01DDCC7F-2BBB-4A2A-9E1B-D053749D29D3,,GBR03370,KOLDDRAFT,,,,,,
01E345E2-00D0-4E4C-A7D0-C48F40E2AD9C,,38CQ400071,CARRIER,,,,,,
01E5BAE6-6DE5-42BA-B4A1-25AAD9650E55,,10865005,AMANA,DEFROST CONTROL BOARD,,,,,
01E650F3-7B30-4622-9608-6BF610A245F3,,30148083,GREE,,,,,,
01EA47B5-5E93-4BFA-B5D8-AFCE7345D054,,T7WE85315,MITSUBISHI,,,,,,
01EB0A11-11F5-4CA6-B6F3-FD739A6D1850,,PCB00106,GOODMAN,IGNITION CONTROL BOARD,,,,,
01EBF9BE-D2D1-4E81-99C5-CA784D28A2F8,,9703096013,FUJITSU,,,,,,
01EC5270-873C-4587-BE09-3239E1DFBF63,,CNT04893,TRANE,,,,,,
01F20DF4-CD86-41C7-80EA-74CF49088E6E,,201332590077,CARRIER,,,,,,
01F49938-A2C9-4752-91D6-FCD2A0CB2796,,38AP404366,CARRIER,,,,,,
01F67C1C-2FAA-4158-A680-64F00EF2D452,,S1-02524853000,YORK UPG,,,,,,
01F6A901-617D-4BCD-996D-03ECA1649F3B,,201332590010,,,,,,,
01FCD845-7B3B-401D-91B9-3C9B17824351,,RLY3090,LOCHINVAR,,,,,,
01FE18A3-C183-4562-9EC4-C508A3F1A005,,52CE480241,CARRIER,,,,,,
01FE231C-476E-4096-8086-79D78C7C69C7,,50DW411401,CARRIER,,,,,,
01FEB398-0524-4C9F-B455-CFFEF72F2454,,S1-03101212700,YORK UPG,,,,,,
01TSWWPXT8JGHTSKHQ2F56XUZ35BUN039ULT,,5304436534,FRIGIDAIRE,,,,,,
0205305D-FC22-4010-9BE7-8EF723BEF466,,CNT01199,TRANE,,,,,,
020DF613-CC98-4BEF-B33E-6EC560B3DCB8,,BRD03020,TRANE,,,,,,
021D4A87-0C5F-462C-AAB8-22967E92A979,,47-102738-104,RUUD,,,,,,
02200046-A743-4B47-8C23-41E72AAAAE45,,17317000A08839,CARRIER,,,,,,
0220676F-BFF4-4B80-80B1-A0CA5B09CB0A,,E02714450,MITSUBISHI,,,,,,
02215E90-B9E9-4543-A9D5-AC0CE9663D5F,,T7W029310,MITSUBISHI,,,,,,
02221D91-372E-4ECB-A389-7BACBC88B088,,8510005117600,SANYO,,,,,,
02251699-FB7B-482F-BC88-D4659228C250,,32LT660004,DAY & NIGHT,,,,,,
022CBA01-EC60-4A07-9EB1-ADA1E2F18938,,510-811-476,WEIL-MCLAIN,,,,,,
02358DD9-D38D-41AA-908D-D922501829B3,,52CE481041,CARRIER,,,,,,
02368A5E-8138-4668-98F7-CA767EDBCAE3,,48NG480955,CARRIER,,,,,,
02399989-4809-467D-9C5E-1F91EB9EBD68,,0060400275,CARRIER,,,,,,
0239BABF-27B6-45D1-83B9-17462C89F009,,62-24340-02,RUUD,,,,,,
0242755C-7B18-457A-80D8-FB92AEADC737,,2013854A0003,CARRIER,,,,,,
024C1099-C447-462A-98D0-9C18B5C21F8E,,1117-04900-003,AIRTEMP,,,,,,
